state_abb,state,uninsured_num_2008,uninsured_pct_2008,insured_pct_2008,uninsured_num_2009,uninsured_pct_2009,insured_pct_2009,uninsured_num_2010,uninsured_pct_2010,insured_pct_2010,uninsured_num_2011,uninsured_pct_2011,insured_pct_2011,uninsured_num_2012,uninsured_pct_2012,insured_pct_2012,uninsured_num_2013,uninsured_pct_2013,insured_pct_2013,uninsured_num_2014,uninsured_pct_2014,insured_pct_2014,uninsured_num_2015,uninsured_pct_2015,insured_pct_2015
AL,Alabama,600542.0,15.3,84.7,623621.0,15.8,84.2,681437.0,16.9,83.1,669410.0,16.6,83.4,633845.0,15.8,84.2,637841.0,15.9,84.1,567439.0,14.2,85.8,475233.0,11.9,88.1
AK,Alaska,128812.0,20.5,79.5,144785.0,22.7,77.3,138777.0,21.4,78.6,141836.0,21.7,78.3,146928.0,22.3,77.7,135757.0,20.8,79.2,123604.0,19.0,81.0,105982.0,16.3,83.7
AZ,Arizona,1138508.0,20.5,79.5,1118761.0,19.9,80.1,1042809.0,19.3,80.7,1064887.0,19.6,80.4,1111138.0,20.4,79.6,1092617.0,20.0,80.0,886514.0,16.1,83.9,710610.0,12.8,87.2
AR,Arkansas,472500.0,19.8,80.2,471567.0,19.6,80.4,500134.0,20.6,79.4,490103.0,20.1,79.9,471902.0,19.4,80.6,458780.0,18.8,81.2,336619.0,13.8,86.2,269055.0,11.1,88.9
CA,California,6166623.0,19.2,80.8,6491176.0,20.1,79.9,6720279.0,20.7,79.3,6603169.0,20.2,79.8,6580078.0,20.0,80.0,6368296.0,19.4,80.6,4655102.0,14.1,85.9,3234373.0,9.7,90.3
CO,Colorado,785439.0,18.1,81.9,756645.0,17.2,82.8,777411.0,17.7,82.3,753842.0,17.0,83.0,744887.0,16.7,83.3,722130.0,16.0,84.0,535569.0,11.7,88.3,428602.0,9.2,90.8
CT,Connecticut,298164.0,10.1,89.9,299521.0,10.2,89.8,309864.0,10.4,89.6,299599.0,10.1,89.9,313293.0,10.5,89.5,322785.0,10.9,89.1,236861.0,8.0,92.0,201842.0,6.9,93.1
DE,Delaware,85208.0,11.7,88.3,88758.0,12.0,88.0,86894.0,11.6,88.4,84181.0,11.2,88.8,77920.0,10.3,89.7,82347.0,10.9,89.1,70640.0,9.3,90.7,52951.0,6.9,93.1
FL,Florida,3581341.0,24.2,75.8,3735524.0,24.9,75.1,3853392.0,25.3,74.7,3804839.0,24.8,75.2,3724873.0,24.1,75.9,3778848.0,24.3,75.7,3176171.0,20.2,79.8,2602192.0,16.3,83.7
GA,Georgia,1700333.0,20.1,79.9,1815729.0,21.2,78.8,1848505.0,21.9,78.1,1846990.0,21.7,78.3,1767578.0,20.7,79.3,1810621.0,21.2,78.8,1549301.0,18.0,82.0,1366843.0,15.8,84.2
HI,Hawaii,85490.0,7.7,92.3,91365.0,8.2,91.8,102658.0,8.9,91.1,94510.0,8.1,91.9,90741.0,7.8,92.2,88089.0,7.6,92.4,69936.0,6.0,94.0,55299.0,4.8,95.2
ID,Idaho,250615.0,19.1,80.9,257017.0,19.3,80.7,273440.0,20.3,79.7,255479.0,18.9,81.1,250246.0,18.5,81.5,256305.0,18.8,81.2,216276.0,15.7,84.3,177426.0,12.8,87.2
IL,Illinois,1542646.0,13.9,86.1,1658111.0,15.0,85.0,1717178.0,15.6,84.4,1627886.0,14.8,85.2,1593191.0,14.6,85.4,1588326.0,14.6,85.4,1211871.0,11.2,88.8,885019.0,8.2,91.8
IN,Indiana,817222.0,15.1,84.9,882602.0,16.2,83.8,929589.0,17.0,83.0,911674.0,16.6,83.4,911449.0,16.6,83.4,887375.0,16.1,83.9,768504.0,14.0,86.0,621372.0,11.3,88.7
IA,Iowa,248020.0,10.0,90.0,247530.0,10.0,90.0,270219.0,10.7,89.3,263528.0,10.4,89.6,249896.0,9.9,90.1,244164.0,9.6,90.4,185413.0,7.3,92.7,149178.0,5.9,94.1
KS,Kansas,305209.0,12.8,87.2,349636.0,14.6,85.4,380567.0,15.8,84.2,348974.0,14.4,85.6,348613.0,14.4,85.6,341248.0,14.1,85.9,284342.0,11.7,88.3,253816.0,10.5,89.5
KY,Kentucky,542705.0,15.0,85.0,601743.0,16.5,83.5,640974.0,17.5,82.5,621065.0,16.9,83.1,593832.0,16.2,83.8,615363.0,16.8,83.2,360275.0,9.9,90.1,258239.0,7.1,92.9
LA,Louisiana,732996.0,19.5,80.5,766181.0,20.0,80.0,793782.0,20.5,79.5,783015.0,20.1,79.9,755908.0,19.4,80.6,746374.0,19.1,80.9,661811.0,16.9,83.1,538466.0,13.8,86.2
ME,Maine,131753.0,12.1,87.9,135054.0,12.5,87.5,132154.0,12.2,87.8,139781.0,12.9,87.1,133087.0,12.4,87.6,143651.0,13.5,86.5,131550.0,12.4,87.6,108771.0,10.3,89.7
MD,Maryland,596241.0,12.3,87.7,627606.0,12.9,87.1,630139.0,12.7,87.3,595770.0,12.0,88.0,587764.0,11.8,88.2,584728.0,11.7,88.3,450280.0,8.9,91.1,374972.0,7.4,92.6
MA,Massachusetts,240442.0,4.4,95.6,269241.0,4.9,95.1,281724.0,5.2,94.8,267661.0,4.9,95.1,246614.0,4.5,95.5,238392.0,4.3,95.7,208262.0,3.8,96.2,180139.0,3.2,96.8
MI,Michigan,1054990.0,12.4,87.6,1173560.0,13.9,86.1,1193021.0,14.3,85.7,1130594.0,13.6,86.4,1103508.0,13.4,86.6,1059974.0,12.9,87.1,827968.0,10.1,89.9,590197.0,7.2,92.8
MN,Minnesota,423662.0,9.5,90.5,460534.0,10.2,89.8,468857.0,10.3,89.7,462930.0,10.2,89.8,419196.0,9.2,90.8,433829.0,9.5,90.5,308991.0,6.7,93.3,237981.0,5.2,94.8
MS,Mississippi,479108.0,19.3,80.7,509923.0,20.5,79.5,525570.0,21.0,79.0,516526.0,20.6,79.4,491937.0,19.7,80.3,498591.0,20.0,80.0,424433.0,17.1,82.9,365919.0,14.8,85.2
MO,Missouri,711271.0,14.3,85.7,764772.0,15.2,84.8,766031.0,15.3,84.7,801665.0,16.0,84.0,790984.0,15.8,84.2,762811.0,15.3,84.7,682388.0,13.7,86.3,574373.0,11.5,88.5
MT,Montana,166021.0,20.4,79.6,176837.0,21.7,78.3,170509.0,20.7,79.3,178926.0,21.6,78.4,178730.0,21.6,78.4,166184.0,20.0,80.0,139768.0,16.8,83.2,118357.0,14.2,85.8
NE,Nebraska,184040.0,12.2,87.8,202324.0,13.3,86.7,206100.0,13.4,86.6,205574.0,13.3,86.7,200265.0,12.9,87.1,201766.0,12.9,87.1,173309.0,11.0,89.0,148165.0,9.4,90.6
NV,Nevada,529094.0,23.2,76.8,565573.0,24.5,75.5,589059.0,25.1,74.9,560498.0,23.8,76.2,580575.0,24.5,75.5,551933.0,23.3,76.7,416208.0,17.3,82.7,341952.0,14.1,85.9
NH,New Hampshire,134877.0,12.1,87.9,133464.0,12.0,88.0,143475.0,13.0,87.0,137349.0,12.5,87.5,138091.0,12.6,87.4,139569.0,12.8,87.2,118870.0,11.0,89.0,84026.0,7.8,92.2
NJ,New Jersey,1017136.0,13.7,86.3,1071584.0,14.4,85.6,1124840.0,15.0,85.0,1114220.0,14.9,85.1,1089994.0,14.6,85.4,1125246.0,15.0,85.0,940315.0,12.6,87.4,745867.0,10.0,90.0
NM,New Mexico,404763.0,23.9,76.1,394687.0,22.9,77.1,397890.0,22.6,77.4,405848.0,23.0,77.0,378252.0,21.5,78.5,380445.0,21.9,78.1,295204.0,17.1,82.9,225491.0,13.1,86.9
NY,New York,2156461.0,13.1,86.9,2172693.0,13.2,86.8,2245437.0,13.7,86.3,2155975.0,13.2,86.8,2073007.0,12.6,87.4,2036206.0,12.4,87.6,1654986.0,10.1,89.9,1351396.0,8.2,91.8
NC,North Carolina,1361040.0,17.4,82.6,1431168.0,18.0,82.0,1549918.0,19.1,80.9,1528388.0,18.7,81.3,1556925.0,19.0,81.0,1491079.0,18.1,81.9,1254138.0,15.2,84.8,1080102.0,13.0,87.0
ND,North Dakota,61607.0,11.6,88.4,61244.0,11.5,88.5,63683.0,11.4,88.6,65997.0,11.6,88.4,70025.0,12.0,88.0,73944.0,12.3,87.7,57168.0,9.3,90.7,54797.0,8.7,91.3
OH,Ohio,1261883.0,13.1,86.9,1358090.0,14.0,86.0,1384046.0,14.3,85.7,1338208.0,13.9,86.1,1294898.0,13.5,86.5,1248847.0,13.0,87.0,947102.0,9.9,90.1,735492.0,7.7,92.3
OK,Oklahoma,660010.0,21.5,78.5,666731.0,21.4,78.6,691408.0,21.9,78.1,695537.0,21.8,78.2,684288.0,21.4,78.6,659369.0,20.6,79.4,576768.0,17.9,82.1,522022.0,16.1,83.9
OR,Oregon,579896.0,18.0,82.0,628573.0,19.4,80.6,639710.0,19.7,80.3,589681.0,18.1,81.9,566354.0,17.4,82.6,560102.0,17.2,82.8,378857.0,11.6,88.4,278293.0,8.4,91.6
PA,Pennsylvania,1080141.0,10.6,89.4,1203026.0,11.7,88.3,1254674.0,12.1,87.9,1249474.0,12.0,88.0,1210961.0,11.7,88.3,1204620.0,11.6,88.4,1047882.0,10.2,89.8,786343.0,7.6,92.4
RI,Rhode Island,103424.0,11.8,88.2,116176.0,13.3,86.7,120001.0,13.8,86.2,110145.0,12.8,87.2,110225.0,12.8,87.2,118849.0,13.9,86.1,74089.0,8.6,91.4,56939.0,6.7,93.3
SC,South Carolina,721391.0,19.2,80.8,737955.0,19.4,80.6,785961.0,20.3,79.7,755487.0,19.4,80.6,770336.0,19.8,80.2,729833.0,18.6,81.4,635365.0,16.1,83.9,517674.0,13.0,87.0
SD,South Dakota,84655.0,12.7,87.3,99891.0,14.8,85.2,94404.0,13.9,86.1,94966.0,13.9,86.1,94071.0,13.6,86.4,89295.0,12.8,87.2,81569.0,11.6,88.4,82558.0,11.8,88.2
TN,Tennessee,777755.0,14.8,85.2,867718.0,16.3,83.7,888747.0,16.6,83.4,918356.0,17.0,83.0,875361.0,16.2,83.8,878198.0,16.2,83.8,765026.0,14.1,85.9,656235.0,12.0,88.0
TX,Texas,5494593.0,25.7,74.3,5710171.0,26.3,73.7,5820793.0,26.3,73.7,5771479.0,25.7,74.3,5712298.0,25.2,74.8,5695879.0,24.8,75.2,4976322.0,21.4,78.6,4536765.0,19.2,80.8
UT,Utah,399117.0,16.3,83.7,397794.0,15.9,84.1,414476.0,16.7,83.3,417274.0,16.6,83.4,398299.0,15.7,84.3,393334.0,15.3,84.7,360274.0,13.8,86.2,306968.0,11.6,88.4
VT,Vermont,53056.0,10.3,89.7,53420.0,10.4,89.6,49750.0,9.7,90.3,40681.0,8.0,92.0,39972.0,7.9,92.1,43638.0,8.7,91.3,30387.0,6.1,93.9,23229.0,4.7,95.3
VA,Virginia,874962.0,13.2,86.8,908234.0,13.6,86.4,1009466.0,14.8,85.2,979509.0,14.3,85.7,981173.0,14.2,85.8,971264.0,14.0,86.0,863567.0,12.4,87.6,722551.0,10.4,89.6
WA,Washington,796579.0,14.0,86.0,865282.0,15.0,85.0,936767.0,16.1,83.9,937962.0,16.0,84.0,933183.0,15.8,84.2,940952.0,15.9,84.1,630600.0,10.6,89.4,459596.0,7.6,92.4
WV,West Virginia,259978.0,17.4,82.6,250222.0,16.8,83.2,262794.0,17.4,82.6,272782.0,18.1,81.9,264082.0,17.6,82.4,254261.0,17.1,82.9,156077.0,10.6,89.4,106941.0,7.3,92.7
WI,Wisconsin,476388.0,10.0,90.0,506363.0,10.6,89.4,518246.0,10.8,89.2,494532.0,10.3,89.7,498050.0,10.4,89.6,505462.0,10.6,89.4,407618.0,8.6,91.4,314933.0,6.6,93.4
WY,Wyoming,71703.0,15.8,84.2,80707.0,17.3,82.7,83761.0,17.3,82.7,84035.0,17.3,82.7,84401.0,17.3,82.7,77766.0,15.8,84.2,69582.0,14.2,85.8,65487.0,13.4,86.6
